Words,Percent Increase
zionist,0.022290545734050732
jews,0.019984627209838585
israel,0.011529592621060722
jew,0.011529592621060722
jewish,0.010760953112990008
amp,0.009223674096848577
people,0.008455034588777863
rabbi,0.005380476556495004
got,0.004611837048424289
never,0.004611837048424289
way,0.004611837048424289
black,0.004611837048424289
look,0.004611837048424289
like,0.004611837048424289
hitler,0.004611837048424289
good,0.003843197540353574
hebrew,0.003843197540353574
antisemitism,0.003843197540353574
back,0.0030745580322828594
talking,0.0030745580322828594
person,0.0030745580322828594
get,0.0030745580322828594
lies,0.0030745580322828594
holocaust,0.0030745580322828594
media,0.0030745580322828594
1,0.0030745580322828594
one,0.0030745580322828594
think,0.0030745580322828594
today,0.0030745580322828594
zionists,0.0030745580322828594
2,0.0023059185242121443
beautiful,0.0023059185242121443
also,0.0023059185242121443
wait,0.0023059185242121443
said,0.0023059185242121443
read,0.0023059185242121443
really,0.0023059185242121443
tribe,0.0023059185242121443
propaganda,0.0023059185242121443
hate,0.0023059185242121443
exist,0.0023059185242121443
india,0.0023059185242121443
i’m,0.0023059185242121443
white,0.0023059185242121443
always,0.0023059185242121443
surprise,0.0023059185242121443
know,0.0023059185242121443
another,0.0023059185242121443
woman,0.0023059185242121443
going,0.0023059185242121443
arab,0.0023059185242121443
literally,0.0023059185242121443
live,0.0023059185242121443
exactly,0.0023059185242121443
years,0.0023059185242121443
replace,0.0023059185242121443
children,0.0023059185242121443
knew,0.0023059185242121443
youre,0.0023059185242121443
something,0.0023059185242121443
zog,0.0023059185242121443
class,0.0023059185242121443
even,0.0023059185242121443
many,0.0023059185242121443
state,0.0023059185242121443
defending,0.0023059185242121443
would,0.0023059185242121443
still,0.0023059185242121443
retweet,0.0023059185242121443
disabled,0.0023059185242121443
house,0.0015372790161414297
antizionism,0.0015372790161414297
girl,0.0015372790161414297
sanghi,0.0015372790161414297
love,0.0015372790161414297
must,0.0015372790161414297
coming,0.0015372790161414297
difference,0.0015372790161414297
palestinian,0.0015372790161414297
half,0.0015372790161414297
questioned,0.0015372790161414297
sethrogen,0.0015372790161414297
podcast,0.0015372790161414297
israel”,0.0015372790161414297
amount,0.0015372790161414297
huge,0.0015372790161414297
fed,0.0015372790161414297
rogen,0.0015372790161414297
seth,0.0015372790161414297
maron,0.0015372790161414297
marc,0.0015372790161414297
interview,0.0015372790161414297
married,0.0015372790161414297
bullying,0.0015372790161414297
kids,0.0015372790161414297
near,0.0015372790161414297
indian,0.0015372790161414297
term,0.0015372790161414297
6,0.0015372790161414297
words,0.0015372790161414297
bottom,0.0015372790161414297
isis,0.0015372790161414297
doesnt,0.0015372790161414297
tax,0.0015372790161414297
slave,0.0015372790161414297
go,0.0015372790161414297
hope,0.0015372790161414297
ugly,0.0015372790161414297
it’s,0.0015372790161414297
anything,0.0015372790161414297
bolshevism,0.0015372790161414297
kid,0.0015372790161414297
better,0.0015372790161414297
twitter,0.0015372790161414297
