Words,Percent Increase
zionist,2.1115322144017323
jews,2.057390362750406
israel,1.028695181375203
amp,0.9745533297238765
jew,0.9204114780725501
jewish,0.8662696264212236
people,0.8121277747698972
like,0.5955603681645912
rabbi,0.48727666486193827
got,0.4331348132106118
hebrew,0.4331348132106118
look,0.4331348132106118
black,0.4331348132106118
way,0.3789929615592853
think,0.3789929615592853
hitler,0.3789929615592853
know,0.32485110990795885
one,0.32485110990795885
back,0.32485110990795885
would,0.32485110990795885
get,0.32485110990795885
good,0.32485110990795885
never,0.32485110990795885
zionists,0.32485110990795885
thing,0.2707092582566324
slave,0.2707092582566324
hate,0.2707092582566324
zog,0.2707092582566324
person,0.2707092582566324
even,0.2707092582566324
literally,0.2707092582566324
also,0.2707092582566324
antisemitism,0.2707092582566324
holocaust,0.2707092582566324
media,0.2707092582566324
today,0.2165674066053059
still,0.2165674066053059
going,0.2165674066053059
lies,0.2165674066053059
dead,0.2165674066053059
ever,0.2165674066053059
something,0.2165674066053059
really,0.2165674066053059
children,0.2165674066053059
real,0.2165674066053059
tweet,0.2165674066053059
im,0.2165674066053059
better,0.2165674066053059
talking,0.2165674066053059
years,0.2165674066053059
1,0.2165674066053059
dont,0.2165674066053059
mean,0.16242555495397942
says,0.16242555495397942
exactly,0.16242555495397942
right,0.16242555495397942
say,0.16242555495397942
state,0.16242555495397942
replace,0.16242555495397942
blocked,0.16242555495397942
class,0.16242555495397942
racist,0.16242555495397942
said,0.16242555495397942
christians,0.16242555495397942
wait,0.16242555495397942
another,0.16242555495397942
palestinian,0.16242555495397942
terrorist,0.16242555495397942
india,0.16242555495397942
many,0.16242555495397942
story,0.16242555495397942
live,0.16242555495397942
read,0.16242555495397942
surprise,0.16242555495397942
ben,0.16242555495397942
grimm,0.16242555495397942
knew,0.16242555495397942
power,0.16242555495397942
coming,0.16242555495397942
woman,0.16242555495397942
time,0.16242555495397942
beautiful,0.16242555495397942
2,0.16242555495397942
yes,0.16242555495397942
always,0.16242555495397942
defending,0.16242555495397942
white,0.16242555495397942
6,0.16242555495397942
youre,0.16242555495397942
apartheid,0.16242555495397942
want,0.16242555495397942
word,0.16242555495397942
i’m,0.16242555495397942
child,0.16242555495397942
words,0.16242555495397942
feel,0.16242555495397942
retweet,0.16242555495397942
disabled,0.16242555495397942
exist,0.16242555495397942
tribe,0.16242555495397942
propaganda,0.16242555495397942
arab,0.16242555495397942
us,0.16242555495397942
listen,0.16242555495397942
term,0.16242555495397942
dalia,0.10828370330265295
soon,0.10828370330265295
looking,0.10828370330265295
well,0.10828370330265295
tried,0.10828370330265295
body,0.10828370330265295
shot,0.10828370330265295
show,0.10828370330265295
mom,0.10828370330265295
indigenous,0.10828370330265295
see,0.10828370330265295
you’re,0.10828370330265295
pharaoh,0.10828370330265295
ancient,0.10828370330265295
fact,0.10828370330265295
isis,0.10828370330265295
away,0.10828370330265295
g,0.10828370330265295
ill,0.10828370330265295
may,0.10828370330265295
saw,0.10828370330265295
tax,0.10828370330265295
left,0.10828370330265295
king,0.10828370330265295
return,0.10828370330265295
set,0.10828370330265295
upon,0.10828370330265295
hope,0.10828370330265295
shes,0.10828370330265295
girl,0.10828370330265295
half,0.10828370330265295
indian,0.10828370330265295
married,0.10828370330265295
bolshevism,0.10828370330265295
replaced,0.10828370330265295
anything,0.10828370330265295
israelis,0.10828370330265295
idiot,0.10828370330265295
stupid,0.10828370330265295
work,0.10828370330265295
top,0.10828370330265295
sanghi,0.10828370330265295
love,0.10828370330265295
pussy,0.10828370330265295
palestine,0.10828370330265295
someone,0.10828370330265295
sees,0.10828370330265295
inhabitants,0.10828370330265295
citizens,0.10828370330265295
blessing,0.10828370330265295
czar,0.10828370330265295
reincarnated,0.10828370330265295
four,0.10828370330265295
thousand,0.10828370330265295
marvel,0.10828370330265295
murdered,0.10828370330265295
kid,0.10828370330265295
forget,0.10828370330265295
