Words,Percent Appearance
zionist,2.077484559236384
jews,1.5160022459292533
zionists,0.8609395470709339
amp,0.8422234699606962
israel,0.8235073928504586
zog,0.6550626988583192
jewish,0.6550626988583192
like,0.5801983904173685
jew,0.5801983904173685
people,0.5427662361968931
us,0.5240501590866554
think,0.3556054650945162
one,0.3556054650945162
know,0.3556054650945162
rabbi,0.3556054650945162
dont,0.3181733108740408
get,0.2994572337638031
would,0.2620250795433277
want,0.2620250795433277
media,0.2620250795433277
black,0.2620250795433277
even,0.2620250795433277
also,0.24330900243309003
look,0.24330900243309003
palestine,0.24330900243309003
apartheid,0.24330900243309003
jesus,0.24330900243309003
world,0.22459292532285233
going,0.22459292532285233
state,0.20587684821261465
make,0.20587684821261465
time,0.20587684821261465
white,0.20587684821261465
trump,0.20587684821261465
control,0.20587684821261465
hebrew,0.18716077110237694
arab,0.18716077110237694
right,0.18716077110237694
bds,0.18716077110237694
2,0.18716077110237694
american,0.18716077110237694
god,0.18716077110237694
way,0.18716077110237694
hitler,0.18716077110237694
back,0.18716077110237694
torah,0.18716077110237694
war,0.16844469399213924
knew,0.16844469399213924
never,0.16844469399213924
good,0.16844469399213924
land,0.16844469399213924
believe,0.16844469399213924
says,0.16844469399213924
long,0.14972861688190156
russia,0.14972861688190156
person,0.14972861688190156
got,0.14972861688190156
messiah,0.14972861688190156
talk,0.14972861688190156
everyone,0.14972861688190156
still,0.14972861688190156
literally,0.14972861688190156
conspiracy,0.14972861688190156
take,0.14972861688190156
story,0.14972861688190156
im,0.14972861688190156
cant,0.14972861688190156
israeli,0.14972861688190156
terrorist,0.14972861688190156
didnt,0.14972861688190156
antisemitism,0.14972861688190156
slave,0.14972861688190156
christians,0.13101253977166386
party,0.13101253977166386
really,0.13101253977166386
ever,0.13101253977166386
hate,0.13101253977166386
power,0.13101253977166386
real,0.13101253977166386
doesnt,0.13101253977166386
tell,0.13101253977166386
propaganda,0.13101253977166386
united,0.13101253977166386
usa,0.13101253977166386
support,0.13101253977166386
america,0.13101253977166386
call,0.13101253977166386
1,0.13101253977166386
today,0.13101253977166386
years,0.13101253977166386
government,0.13101253977166386
coming,0.11229646266142616
go,0.11229646266142616
theyre,0.11229646266142616
course,0.11229646266142616
dead,0.11229646266142616
yet,0.11229646266142616
another,0.11229646266142616
said,0.11229646266142616
every,0.11229646266142616
well,0.11229646266142616
live,0.11229646266142616
many,0.11229646266142616
gt,0.11229646266142616
u,0.11229646266142616
new,0.11229646266142616
states,0.11229646266142616
muslims,0.11229646266142616
racist,0.11229646266142616
money,0.11229646266142616
men,0.11229646266142616
thing,0.11229646266142616
man,0.11229646266142616
say,0.11229646266142616
others,0.11229646266142616
holocaust,0.11229646266142616
palestinian,0.11229646266142616
behind,0.11229646266142616
nan,0.11229646266142616
since,0.11229646266142616
always,0.11229646266142616
used,0.09358038555118847
german,0.09358038555118847
stop,0.09358038555118847
n,0.09358038555118847
r,0.09358038555118847
become,0.09358038555118847
try,0.09358038555118847
must,0.09358038555118847
it’s,0.09358038555118847
tried,0.09358038555118847
truth,0.09358038555118847
group,0.09358038555118847
nazi,0.09358038555118847
king,0.09358038555118847
creepy,0.09358038555118847
using,0.09358038555118847
class,0.09358038555118847
away,0.09358038555118847
wait,0.09358038555118847
care,0.09358038555118847
funny,0.09358038555118847
joe,0.09358038555118847
beirut,0.09358038555118847
east,0.09358038555118847
means,0.09358038555118847
among,0.09358038555118847
decades,0.09358038555118847
lord,0.09358038555118847
read,0.09358038555118847
help,0.09358038555118847
global,0.09358038555118847
see,0.09358038555118847
fuck,0.09358038555118847
working,0.09358038555118847
syria,0.09358038555118847
killed,0.09358038555118847
come,0.09358038555118847
youre,0.09358038555118847
6,0.09358038555118847
anything,0.09358038555118847
free,0.09358038555118847
children,0.09358038555118847
puppet,0.09358038555118847
words,0.09358038555118847
love,0.07486430844095078
day,0.07486430844095078
trying,0.07486430844095078
keep,0.07486430844095078
exactly,0.07486430844095078
place,0.07486430844095078
jerusalem,0.07486430844095078
nobody,0.07486430844095078
uk,0.07486430844095078
thought,0.07486430844095078
something,0.07486430844095078
christian,0.07486430844095078
president,0.07486430844095078
likes,0.07486430844095078
racism,0.07486430844095078
high,0.07486430844095078
lies,0.07486430844095078
ago,0.07486430844095078
murdered,0.07486430844095078
first,0.07486430844095078
zionism,0.07486430844095078
law,0.07486430844095078
ppl,0.07486430844095078
though,0.07486430844095078
narrative,0.07486430844095078
posted,0.07486430844095078
kill,0.07486430844095078
someone,0.07486430844095078
sense,0.07486430844095078
next,0.07486430844095078
bankers,0.07486430844095078
girl,0.07486430844095078
e,0.07486430844095078
europe,0.07486430844095078
true,0.07486430844095078
house,0.07486430844095078
woman,0.07486430844095078
biden,0.07486430844095078
proud,0.07486430844095078
fact,0.07486430844095078
i’m,0.07486430844095078
christ,0.07486430844095078
supported,0.07486430844095078
wars,0.07486430844095078
endless,0.07486430844095078
yes,0.07486430844095078
run,0.07486430844095078
news,0.07486430844095078
less,0.07486430844095078
two,0.07486430844095078
agent,0.07486430844095078
foreign,0.07486430844095078
system,0.07486430844095078
matter,0.07486430844095078
hes,0.07486430844095078
bad,0.07486430844095078
talking,0.07486430844095078
lost,0.07486430844095078
better,0.07486430844095078
attacks,0.07486430844095078
don’t,0.07486430844095078
listen,0.07486430844095078
fight,0.07486430844095078
kingdom,0.07486430844095078
tribe,0.07486430844095078
twitter,0.07486430844095078
stuff,0.07486430844095078
exist,0.07486430844095078
much,0.07486430844095078
month,0.07486430844095078
germany,0.07486430844095078
child,0.07486430844095078
