Words,Percent Appearance
jews,3.201219512195122
jesus,1.9817073170731707
torah,1.524390243902439
messiah,1.2195121951219512
jew,1.0670731707317074
like,0.9146341463414634
god,0.7621951219512195
time,0.7621951219512195
knew,0.7621951219512195
one,0.6097560975609756
israel,0.6097560975609756
jewish,0.6097560975609756
muslims,0.6097560975609756
among,0.6097560975609756
christ,0.6097560975609756
also,0.6097560975609756
would,0.6097560975609756
world,0.4573170731707317
judah,0.4573170731707317
pray,0.4573170731707317
men,0.4573170731707317
going,0.4573170731707317
even,0.4573170731707317
lord,0.4573170731707317
kingdom,0.4573170731707317
believe,0.4573170731707317
didnt,0.4573170731707317
people,0.4573170731707317
allah,0.4573170731707317
christians,0.4573170731707317
deny,0.3048780487804878
well,0.3048780487804878
go,0.3048780487804878
hell,0.3048780487804878
bs,0.3048780487804878
temple,0.3048780487804878
satan,0.3048780487804878
story,0.3048780487804878
want,0.3048780487804878
christian,0.3048780487804878
never,0.3048780487804878
sense,0.3048780487804878
away,0.3048780487804878
texts,0.3048780487804878
law,0.3048780487804878
oops,0.3048780487804878
simchat,0.3048780487804878
qoute,0.3048780487804878
rabbis,0.3048780487804878
king,0.3048780487804878
moses,0.3048780487804878
jerusalem,0.3048780487804878
📖,0.3048780487804878
inside,0.3048780487804878
place,0.3048780487804878
said,0.3048780487804878
history,0.3048780487804878
using,0.3048780487804878
says,0.3048780487804878
still,0.3048780487804878
bishop,0.3048780487804878
barda,0.3048780487804878
family,0.3048780487804878
ish,0.3048780487804878
hasatan,0.3048780487804878
u,0.3048780487804878
put,0.3048780487804878
new,0.3048780487804878
amp,0.3048780487804878
islam,0.3048780487804878
think,0.3048780487804878
false,0.3048780487804878
rabbi,0.3048780487804878
keep,0.3048780487804878
cooper,0.3048780487804878
media,0.3048780487804878
books,0.3048780487804878
english,0.3048780487804878
stop,0.3048780487804878
find,0.3048780487804878
tried,0.3048780487804878
russia,0.3048780487804878
rev,0.3048780487804878
right,0.3048780487804878
feinstein,0.1524390243902439
flood,0.1524390243902439
great,0.1524390243902439
told,0.1524390243902439
tablets,0.1524390243902439
revealed,0.1524390243902439
library,0.1524390243902439
ashurbanipal,0.1524390243902439
passage,0.1524390243902439
represented,0.1524390243902439
seems,0.1524390243902439
