Words,Percent Appearance
zog,1.6799702988676444
jews,1.6428438834230554
israel,0.8074995359198069
jewish,0.7889363281975126
amp,0.7703731204752181
jew,0.3991089660293299
today,0.38982736216818265
one,0.38054575830703546
like,0.36198255058474105
zionist,0.34341934286244663
people,0.34341934286244663
dragon,0.31557453127900503
story,0.31557453127900503
hebrew,0.3062929274178578
new,0.2877297196955634
know,0.2784481158344162
torah,0.26916651197326896
rabbi,0.26916651197326896
day,0.26916651197326896
antisemitism,0.2598849081121218
hate,0.2598849081121218
dont,0.2598849081121218
history,0.25060330425097455
would,0.25060330425097455
many,0.22275849266753295
good,0.22275849266753295
us,0.22275849266753295
zionists,0.22275849266753295
get,0.19491368108409132
right,0.19491368108409132
even,0.19491368108409132
think,0.18563207722294411
time,0.1763504733617969
last,0.1763504733617969
also,0.1763504733617969
arabs,0.16706886950064972
made,0.16706886950064972
say,0.15778726563950252
said,0.15778726563950252
see,0.15778726563950252
week,0.15778726563950252
2,0.1485056617783553
antisemitic,0.1485056617783553
make,0.1485056617783553
live,0.1485056617783553
dragons,0.1485056617783553
left,0.1392240579172081
book,0.1392240579172081
palestinians,0.1392240579172081
first,0.1392240579172081
it’s,0.1392240579172081
flying,0.1392240579172081
years,0.1392240579172081
state,0.1392240579172081
well,0.1392240579172081
look,0.1299424540560609
king,0.1299424540560609
got,0.1299424540560609
land,0.1299424540560609
never,0.1299424540560609
learn,0.1299424540560609
making,0.1299424540560609
palestine,0.1299424540560609
egypt,0.1299424540560609
want,0.1299424540560609
love,0.1299424540560609
julia,0.12066085019491368
apartheid,0.12066085019491368
read,0.12066085019491368
nazi,0.12066085019491368
still,0.12066085019491368
racist,0.12066085019491368
sure,0.12066085019491368
two,0.12066085019491368
white,0.12066085019491368
big,0.12066085019491368
children,0.12066085019491368
much,0.12066085019491368
world,0.11137924633376647
work,0.11137924633376647
use,0.11137924633376647
back,0.11137924633376647
learning,0.11137924633376647
black,0.11137924633376647
must,0.11137924633376647
part,0.11137924633376647
god,0.11137924633376647
year,0.11137924633376647
using,0.10209764247261927
baby,0.10209764247261927
isralove,0.10209764247261927
israeli,0.10209764247261927
life,0.10209764247261927
jesus,0.10209764247261927
though,0.10209764247261927
always,0.10209764247261927
donaldson,0.10209764247261927
help,0.10209764247261927
come,0.10209764247261927
every,0.10209764247261927
says,0.10209764247261927
called,0.09281603861147206
birth,0.09281603861147206
thought,0.09281603861147206
3,0.09281603861147206
used,0.09281603861147206
anti,0.09281603861147206
done,0.09281603861147206
yet,0.09281603861147206
christian,0.09281603861147206
holocaust,0.09281603861147206
killed,0.09281603861147206
media,0.09281603861147206
didnt,0.09281603861147206
could,0.08353443475032486
special,0.08353443475032486
take,0.08353443475032486
president,0.08353443475032486
working,0.08353443475032486
british,0.08353443475032486
find,0.08353443475032486
reading,0.08353443475032486
century,0.08353443475032486
little,0.08353443475032486
away,0.08353443475032486
ideas,0.08353443475032486
home,0.08353443475032486
cant,0.08353443475032486
go,0.08353443475032486
country,0.08353443475032486
next,0.08353443475032486
check,0.08353443475032486
need,0.08353443475032486
thats,0.08353443475032486
gruffalo,0.08353443475032486
nations,0.08353443475032486
u,0.08353443475032486
control,0.08353443475032486
christ,0.08353443475032486
school,0.08353443475032486
wall,0.08353443475032486
lies,0.08353443475032486
stories,0.08353443475032486
don’t,0.08353443475032486
way,0.08353443475032486
free,0.08353443475032486
best,0.08353443475032486
art,0.07425283088917765
trail,0.07425283088917765
arab,0.07425283088917765
polish,0.07425283088917765
youre,0.07425283088917765
watch,0.07425283088917765
10,0.07425283088917765
bible,0.07425283088917765
show,0.07425283088917765
small,0.07425283088917765
gift,0.07425283088917765
•,0.07425283088917765
party,0.07425283088917765
star,0.07425283088917765
account,0.07425283088917765
man,0.07425283088917765
really,0.07425283088917765
better,0.07425283088917765
1,0.07425283088917765
writing,0.07425283088917765
august,0.07425283088917765
online,0.07425283088917765
old,0.07425283088917765
america,0.07425283088917765
yes,0.07425283088917765
that’s,0.07425283088917765
role,0.07425283088917765
vote,0.07425283088917765
–,0.07425283088917765
juliadonaldson,0.06497122702803045
south,0.06497122702803045
🐉,0.06497122702803045
something,0.06497122702803045
—,0.06497122702803045
usa,0.06497122702803045
eyfs,0.06497122702803045
went,0.06497122702803045
nazis,0.06497122702803045
david,0.06497122702803045
12,0.06497122702803045
women,0.06497122702803045
albania,0.06497122702803045
hes,0.06497122702803045
judaism,0.06497122702803045
towards,0.06497122702803045
bubble,0.06497122702803045
gaza,0.06497122702803045
anyone,0.06497122702803045
fun,0.06497122702803045
word,0.06497122702803045
lots,0.06497122702803045
came,0.06497122702803045
