Words,Percent Appearance
zionist,0.021235931195582928
jews,0.015289870460819708
israel,0.009131450414100658
zionists,0.00849437247823317
amp,0.008282013166277342
jewish,0.006583138670630707
zog,0.005946060734763219
like,0.005521342110851561
jew,0.005521342110851561
us,0.005308982798895732
people,0.005096623486939902
one,0.004034826927160756
know,0.003822467615204927
think,0.0033977489912932683
dont,0.0029730303673816097
want,0.0027606710554257804
would,0.0027606710554257804
black,0.0027606710554257804
media,0.0027606710554257804
rabbi,0.0027606710554257804
even,0.0027606710554257804
look,0.0027606710554257804
palestine,0.002548311743469951
going,0.002548311743469951
also,0.002548311743469951
jesus,0.002548311743469951
get,0.002335952431514122
apartheid,0.002335952431514122
state,0.002335952431514122
white,0.002335952431514122
hebrew,0.0021235931195582925
american,0.0021235931195582925
world,0.0021235931195582925
control,0.0021235931195582925
torah,0.0021235931195582925
says,0.0019112338076024634
trump,0.0019112338076024634
way,0.0019112338076024634
god,0.0019112338076024634
arab,0.0019112338076024634
time,0.0019112338076024634
war,0.0016988744956466342
believe,0.0016988744956466342
story,0.0016988744956466342
hitler,0.0016988744956466342
israeli,0.0016988744956466342
land,0.0016988744956466342
knew,0.0016988744956466342
person,0.0016988744956466342
good,0.0016988744956466342
2,0.0016988744956466342
right,0.0016988744956466342
make,0.0016988744956466342
messiah,0.0016988744956466342
back,0.0016988744956466342
antisemitism,0.0014865151836908049
america,0.0014865151836908049
united,0.0014865151836908049
never,0.0014865151836908049
government,0.0014865151836908049
support,0.0014865151836908049
bds,0.0014865151836908049
im,0.0014865151836908049
years,0.0014865151836908049
everyone,0.0014865151836908049
call,0.0014865151836908049
didnt,0.0014865151836908049
still,0.0014865151836908049
cant,0.0014865151836908049
today,0.0014865151836908049
got,0.0014865151836908049
usa,0.0014865151836908049
terrorist,0.0014865151836908049
slave,0.0014865151836908049
propaganda,0.0014865151836908049
men,0.0012741558717349756
tell,0.0012741558717349756
conspiracy,0.0012741558717349756
u,0.0012741558717349756
ever,0.0012741558717349756
thing,0.0012741558717349756
talk,0.0012741558717349756
long,0.0012741558717349756
palestinian,0.0012741558717349756
states,0.0012741558717349756
new,0.0012741558717349756
yet,0.0012741558717349756
said,0.0012741558717349756
real,0.0012741558717349756
say,0.0012741558717349756
theyre,0.0012741558717349756
course,0.0012741558717349756
always,0.0012741558717349756
muslims,0.0012741558717349756
1,0.0012741558717349756
russia,0.0012741558717349756
power,0.0012741558717349756
literally,0.0012741558717349756
man,0.0012741558717349756
take,0.0012741558717349756
money,0.0012741558717349756
go,0.0012741558717349756
german,0.0010617965597791463
try,0.0010617965597791463
east,0.0010617965597791463
see,0.0010617965597791463
another,0.0010617965597791463
read,0.0010617965597791463
6,0.0010617965597791463
creepy,0.0010617965597791463
joe,0.0010617965597791463
dead,0.0010617965597791463
among,0.0010617965597791463
n,0.0010617965597791463
beirut,0.0010617965597791463
racist,0.0010617965597791463
working,0.0010617965597791463
words,0.0010617965597791463
hate,0.0010617965597791463
king,0.0010617965597791463
global,0.0010617965597791463
every,0.0010617965597791463
since,0.0010617965597791463
come,0.0010617965597791463
youre,0.0010617965597791463
coming,0.0010617965597791463
doesnt,0.0010617965597791463
decades,0.0010617965597791463
wait,0.0010617965597791463
really,0.0010617965597791463
help,0.0010617965597791463
live,0.0010617965597791463
christians,0.0010617965597791463
using,0.0010617965597791463
group,0.0010617965597791463
r,0.0010617965597791463
class,0.0010617965597791463
anything,0.0010617965597791463
nazi,0.0010617965597791463
syria,0.0010617965597791463
children,0.0010617965597791463
others,0.0010617965597791463
lord,0.0010617965597791463
foreign,0.0008494372478233171
free,0.0008494372478233171
uk,0.0008494372478233171
wars,0.0008494372478233171
endless,0.0008494372478233171
trying,0.0008494372478233171
day,0.0008494372478233171
killed,0.0008494372478233171
yes,0.0008494372478233171
tribe,0.0008494372478233171
better,0.0008494372478233171
germany,0.0008494372478233171
bankers,0.0008494372478233171
month,0.0008494372478233171
supported,0.0008494372478233171
tried,0.0008494372478233171
news,0.0008494372478233171
used,0.0008494372478233171
kingdom,0.0008494372478233171
it’s,0.0008494372478233171
exist,0.0008494372478233171
party,0.0008494372478233171
posted,0.0008494372478233171
ago,0.0008494372478233171
supporting,0.0008494372478233171
behind,0.0008494372478233171
president,0.0008494372478233171
become,0.0008494372478233171
exactly,0.0008494372478233171
christ,0.0008494372478233171
high,0.0008494372478233171
e,0.0008494372478233171
woman,0.0008494372478233171
though,0.0008494372478233171
racism,0.0008494372478233171
something,0.0008494372478233171
christian,0.0008494372478233171
likes,0.0008494372478233171
twitter,0.0008494372478233171
europe,0.0008494372478233171
holocaust,0.0008494372478233171
fact,0.0008494372478233171
stop,0.0008494372478233171
well,0.0008494372478233171
place,0.0008494372478233171
girl,0.0008494372478233171
don’t,0.0008494372478233171
means,0.0008494372478233171
less,0.0008494372478233171
zionism,0.0008494372478233171
fuck,0.0008494372478233171
true,0.0008494372478233171
funny,0.0008494372478233171
agent,0.0008494372478233171
matter,0.0008494372478233171
must,0.0008494372478233171
house,0.0008494372478233171
child,0.0008494372478233171
stuff,0.0008494372478233171
attacks,0.0008494372478233171
care,0.0008494372478233171
hes,0.0008494372478233171
lies,0.0008494372478233171
thought,0.0008494372478233171
talking,0.0008494372478233171
i’m,0.0008494372478233171
lost,0.0008494372478233171
pray,0.0006370779358674878
told,0.0006370779358674878
public,0.0006370779358674878
kurdish,0.0006370779358674878
ok,0.0006370779358674878
ill,0.0006370779358674878
full,0.0006370779358674878
understand,0.0006370779358674878
ish,0.0006370779358674878
someone,0.0006370779358674878
